"","coef","coef.se","pval","plate.id"
"IL18R1",0.0434520241056885,0.0944439962815524,0.645507105480239,0
"PDL1",-0.00010976988817723,0.0919490607040174,0.999050201933758,0.00215962347324221
"BetaNGF",0.0261610455928063,0.0299894001237672,0.383280332813624,0
"CXCL5",-0.701016508692427,0.33611712120981,0.0387336118507998,0.00664614265017109
"TRANCE",0.00209880303363938,0.106197689482534,0.984232302318436,0
"HGF",0.0212270415450391,0.0859549283659133,0.804993795234347,0.00623076952549203
"IL12B",-0.105777608012269,0.143579953021637,0.461469338651657,0
"IL24",-0.0401482490092581,0.132986004493659,0.762761440732527,0.00457862581838055
"IL13",0.0323924167200112,0.178789689539449,0.856232705693687,0
"ARTN",-0.0131020441468514,0.101446209844047,0.89723810415155,0
"MMP10",-0.105521936491744,0.124317055730496,0.396229264683093,0.00529723839198752
"IL10",-0.121630310480858,0.148440825449663,0.414264494680804,0.00731634115449249
"TNF",-0.0134916218848907,0.161274971576405,0.933330260700908,0
"CCL23",-0.387176949449218,0.244399669554718,0.115221353005602,0.017165404160402
"CD5",0.170701043248873,0.0945717745023443,0.0719889911859515,0.0212817879607249
"CCL3",0.140805539151509,0.191100991563872,0.461540035933836,0.00433718368205544
"Flt3L",0.0249676943871892,0.0938870890166719,0.790301027063014,0
"CXCL6",-0.435723710879155,0.225097728148213,0.0538917031569213,0.0280161117681019
"CXCL10",-0.596677371419827,0.272675492667237,0.0296268890661065,0.0101946011001022
"4EBP1",0.0383926001169478,0.29107074283891,0.895063685717948,0
"IL20",-0.130742904962533,0.10169733972372,0.199110565139275,0
"SIRT2",0.179887346849968,0.217251722855337,0.407892978786031,0
"CCL28",0.168007954564476,0.0664566820443591,0.0118566852237563,0.00527800789364156
"DNER",-0.0387614637314626,0.0808682207546722,0.633104826250563,0.00966906705989412
"ENRAGE",0.0317879358122161,0.230072964201809,0.890111836115668,0
"CD40",0.00118558799128137,0.0784144564620956,0.987936839683529,0
"IL33",-0.0637556018006529,0.0671301590876432,0.342560426254994,0
"IFNgamma",0.00819923723443436,0.208486559365566,0.96862938504322,0
"FGF19",0.0342179962612908,0.234286392925894,0.883889539889174,0.023605771172243
"IL4",-0.192106820732708,0.118363281035479,0.105244551711941,0
"LIF",-0.110538362350051,0.0904617135498028,0.22222561831747,0
"NRTN",-0.0622278886980093,0.0913376216138251,0.495827897138513,0
"MCP2",-0.280256514783432,0.234410616379678,0.232809095451293,0.0145769293529384
"CASP8",-0.0168340523427146,0.162988822708718,0.917738628511826,0.0474237647294838
"CCL25",-0.0482969442181661,0.221508247212593,0.827729293761867,0.0226034036900451
"CX3CL1",-0.159085465342427,0.176983642778047,0.369529956031032,0.0158723232860378
"TNFRSF9",0.0102994488381416,0.0992377049763862,0.917340097127822,0
"NT3",0.0789534301135162,0.146854015331391,0.590907911997451,0
"TWEAK",-0.097602865357444,0.157883532686071,0.536915861705686,0.0254483786424403
"CCL20",0.0832425595615558,0.237349894853511,0.726536538521297,0.0125311814417573
"ST1A1",0.0948085665725144,0.186292652710341,0.610872543814887,0
"STAMBP",-0.0394320068195963,0.20312480874039,0.846265682034222,0.013582510207257
"IL5",-0.00645552771254315,0.243238520773092,0.978854202912424,0.0154856049412823
"ADA",-0.00869925166685,0.184834219043881,0.962482780120859,0.0286011909758302
"TNFB",-0.163470217321476,0.125255943046728,0.193230009836077,0.0115621197029766
"CSF1",0.0165972669949486,0.0576490519862647,0.773747407500027,1.37744567549621e-05
