"","coef","coef.se","pval","plate.id"
"CXCL10",-0.315327806663126,0.251357211148238,0.210165747761239,0
"4EBP1",0.0134812754725302,0.25320858353857,0.95753935281022,0
"IL20",-0.106148404871532,0.0931628831586225,0.25497744555302,0
"SIRT2",0.111812662309123,0.197221147350485,0.570841981722816,0
"CCL28",0.0289899617763095,0.0591209374401359,0.623945019403626,0
"DNER",-0.0850968228764069,0.0739411806924324,0.250227281043505,0
"ENRAGE",0.157700637494893,0.207622240734416,0.447705165942909,0
"CD40",0.0899629132129921,0.0761318643541897,0.23779764114827,0
"IL33",-0.0834416099427973,0.0614046590850045,0.174745091772948,0
"IFNgamma",-0.0925898231278366,0.19517100427104,0.635265881956404,0
"FGF19",0.0554646514217895,0.213501852272958,0.795151774198022,0.00109819939489095
"IL4",-0.028256209037536,0.112635043843506,0.801926976072921,0
"LIF",-0.0114825320217589,0.0836418617505074,0.890809247704738,0
"NRTN",0.0168186953567775,0.0860442959930995,0.845032635429624,0
"MCP2",-0.141552437451791,0.212569459598673,0.50560092062403,0
"CASP8",0.0572605130728464,0.152617546702017,0.707633332609647,0.0297694046820047
"CCL25",-0.127027706759023,0.204600412943535,0.534805080161022,0.00752834217894213
"CX3CL1",-0.220612042153835,0.170898507086963,0.197266093950607,0
"TNFRSF9",-0.0653123675291748,0.0882193962365396,0.459267293515417,0
"NT3",-0.21174204527741,0.120884466000538,0.0804936162365143,0
"TWEAK",-0.139994317883334,0.142194005645255,0.325199757093034,0.00983807200291975
"CCL20",-0.1127713387317,0.216090516180522,0.60210540666897,0.00350128622512109
"ST1A1",0.00218394011925506,0.174991190049049,0.990042431994392,0
"STAMBP",-0.0645634106440507,0.187548130967997,0.730782092532695,0.00692817369185225
"IL5",-0.0441504844422283,0.228321199439893,0.84680265844421,0.0115148700236636
"ADA",0.00678504855534414,0.170936417044267,0.968347233872483,0.0181800149752854
"TNFB",-0.173816620473091,0.118250338122232,0.14219434268671,0
"CSF1",0.00420893152473198,0.0507217964567334,0.933867185546318,0
