"","coef","coef.se","pval","plate.id"
"CCL3",0.0934718079104036,0.164424794286259,0.569799768422497,0
"Flt3L",0.15091827674656,0.0847593304281638,0.0756442627674726,0
"CXCL6",0.198192367617191,0.208813539845537,0.342934840619109,0.00293987143021693
"CXCL10",-0.0270484662022023,0.258989524586885,0.91737953920521,0.00395772770665048
"4EBP1",0.378099940759624,0.27032094370001,0.162486099332159,0
"IL20",-0.0707482177089553,0.0944854157014099,0.454174094753482,0
"SIRT2",0.168699870578635,0.201260376670726,0.402144839612768,0
"CCL28",0.0513674890582676,0.0606791525906065,0.398921713248548,0.00546121093769264
"DNER",0.0520969732172461,0.0733004246868696,0.47740902537083,0
"ENRAGE",-0.0803696886104291,0.206772297559629,0.69753878003,0
"CD40",-0.0249935084850924,0.0740497596760075,0.740832004489719,0.00158799988873045
"IL33",0.0813987249301038,0.0697365233036804,0.247327936792685,0.00718523605735893
"IFNgamma",0.0690051849559443,0.183617648459507,0.707086995858634,0
"FGF19",0.120704194922894,0.211716340858256,0.56868451944346,0
"IL4",0.0963191844181872,0.133876650508226,0.472074685870249,0.00417374965239504
"LIF",0.00817476431996007,0.0888220805189559,0.926670458098507,0
"NRTN",-0.020814864723496,0.0876022707507172,0.8121937777219,0
"MCP2",0.0692256381899262,0.213749417059062,0.74605973262976,0
"CASP8",0.0823058848561787,0.151518997296046,0.587520129028151,0.0183946234335653
"CCL25",0.120226278378187,0.214822690277412,0.576079785886427,0.00698391609638833
"CX3CL1",0.0597154094281741,0.166692877838294,0.720282748878966,0.00322236182502997
"TNFRSF9",0.177397047709623,0.090719498296373,0.0511598896411413,0
"NT3",-0.0767535034116648,0.120132069315225,0.523003026115014,0
"TWEAK",0.183215092096554,0.148874219301905,0.219006987050685,0.0136908112683636
"CCL20",0.366027152575372,0.226116650848613,0.106176949627347,0.0104575190376965
"ST1A1",-0.0388558446756664,0.178439092022442,0.827626452020176,0
"STAMBP",0.121226831822273,0.192003788234571,0.528175185425141,0.0020477301668172
"IL5",-0.0580069645894226,0.225745233786413,0.797460869217422,0.016297436537961
"ADA",0.100511334460907,0.179945630623015,0.57698367494158,0.00623948925090121
"TNFB",0.0844322713481536,0.119445452930629,0.479804662466763,0
"CSF1",0.0784659037038984,0.0513635758312543,0.127229372357783,0
