"","coef","coef.se","pval","plate.id"
"IL15RA",0.067867899426691,0.037647881187793,0.0719090587427701,0.00299635916337516
"IL10RB",0.00608503886469723,0.0375491214286552,0.871307134858855,0.000317320922485264
"IL22RA1",0.0295252183957406,0.0484205776145549,0.542078216189677,0
"IL18R1",-0.0640732469216334,0.0433212557783688,0.139486348750223,0
"PDL1",-0.0408608186335418,0.0418453969872593,0.329019354647048,0
"BetaNGF",0.00276346504680385,0.0152641875187263,0.856336202964467,0
"CXCL5",-0.0351362019885554,0.161240964041888,0.827501642049465,0
"TRANCE",-0.0373514401252824,0.0497944981013186,0.45332281950044,0.000234139928740074
"HGF",-0.00670202178498824,0.0432097506117717,0.876740227093154,0
"IL12B",-0.004135646902035,0.071958575588485,0.954168788620502,0
"IL24",-0.0824439140012788,0.0665587726602979,0.21575755743907,1.45728691352349e-09
"IL13",0.0689630681130244,0.0755801831619271,0.361695561549572,0
"ARTN",0.0879284266757456,0.049451999618272,0.0757714668490847,0
"MMP10",-0.0167991906979937,0.0634308743803933,0.791136648818574,0
"IL10",-0.0836139803045973,0.0670097942196371,0.212512955736467,0.00110132432420833
"TNF",0.119967167689982,0.0745095298533727,0.10774969576047,0
"CCL23",-0.036172581044823,0.115586698133363,0.754514695245211,0.00663198818563496
"CD5",0.0136102544932816,0.0488797813241735,0.780704943637391,0.0190915251756336
"CCL3",0.0373017708895069,0.0883874103893494,0.67312120257387,0.0100074359945755
"Flt3L",-0.0169413106746177,0.0436036036425307,0.69764153849534,0
"CXCL6",0.0108479937728497,0.108693401741409,0.920500565157093,0
"CXCL10",0.0285523149882759,0.126913465753638,0.822002598546392,0
"X4EBP1",-0.0852614278718511,0.133673442377272,0.523650919311879,0
"IL20",-0.0952680761672441,0.0427444625983178,0.0261296888991433,0
"SIRT2",0.0080277129317823,0.10016967468568,0.936125162179616,0
"CCL28",0.00376572273876238,0.033323537732211,0.910027512615515,0.00291341504339524
"DNER",-0.0501023294203244,0.0372254593376576,0.178693428536287,0.0159557811251466
"ENRAGE",-0.0576643358897619,0.114495499831513,0.614552471356553,0.0110314645334854
"CD40",-0.10015134031648,0.040668198029052,0.0140267828459217,0
"IL33",-0.0192366979004079,0.0317024078145467,0.544050970491076,0
"IFNgamma",0.0987444823803313,0.100048824952546,0.323853213238313,0
"FGF19",-0.123329351187757,0.107248807922746,0.2504364833028,0.00524839718356805
"IL4",0.196934460413352,0.064703177464885,0.00242749900592162,0
"LIF",-0.0589016229598605,0.0423480040148084,0.16459034869628,0
"NRTN",0.0426926459385383,0.0442367331556155,0.334681059787825,8.74055908811794e-19
"MCP2",0.0267944079844377,0.107797675748742,0.803704443376485,0
"CASP8",0.0584410536941459,0.0844674782654966,0.489100526084993,0.0148522023441726
"CCL25",-0.121867399075143,0.105301120372977,0.24740804615441,0.00536005455179696
"CX3CL1",-0.0450052060653976,0.0835867499916786,0.590456346214589,0.006914071324797
"TNFRSF9",0.00582468588928153,0.0469485483138897,0.90132600696917,0.00198368162936491
"NT3",-0.0685258304079156,0.0594803972393019,0.249765905366181,0.0127200076464512
"TWEAK",0.0206076367082528,0.0709471313796807,0.771474029446119,0.0200835662206219
"CCL20",-0.188853435278483,0.113597090924632,0.0967913221751069,0
"ST1A1",0.0497325725465165,0.0850273532664318,0.558669326193456,0
"STAMBP",0.0347513647234096,0.0962945181768516,0.718198856762139,0
"IL5",-0.0290519014124358,0.103268214174405,0.778468326862247,0
"ADA",0.0135482978166122,0.087449556831641,0.876894236123596,0.0101988717737115
"TNFB",0.0382702696126621,0.0627097259636023,0.542282555035051,0.00725209963342935
"CSF1",-0.025724931778455,0.0277207714075875,0.353575764432819,0
